# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
5.38754e-06     	smoothSolver	2.38103190e-04	1.03679800e-13	1	1.75120890e-02	6.11830440e-14	1	false	smoothSolver	2.48613160e-04	4.36167370e-13	1	true	DILUPBiCGStab	2.17845470e-03	2.51924720e-12	1	true	DILUPBiCGStab	5.05796360e-07	5.05796360e-07	0	true	GAMG	2.43277100e-04	4.01428420e-14	1	true
5.48781e-06     	smoothSolver	2.33274110e-04	9.81333430e-14	1	1.71751010e-02	5.68749500e-14	1	false	smoothSolver	2.44071120e-04	4.24629360e-13	1	true	DILUPBiCGStab	2.13670330e-03	2.43639880e-12	1	true	DILUPBiCGStab	5.00313650e-07	5.00313650e-07	0	true	GAMG	2.38777940e-04	3.35951880e-14	1	true
5.58809e-06     	smoothSolver	2.28615790e-04	9.90505240e-14	1	1.68497250e-02	5.29433970e-14	1	false	smoothSolver	2.39688010e-04	4.34936050e-13	1	true	DILUPBiCGStab	2.09648300e-03	2.35403890e-12	1	true	DILUPBiCGStab	4.94813230e-07	4.94813230e-07	0	true	GAMG	2.34437130e-04	3.78979510e-14	1	true
5.68836e-06     	smoothSolver	2.24119360e-04	9.35172680e-14	1	1.65353580e-02	4.93730890e-14	1	false	smoothSolver	2.35454450e-04	4.13915830e-13	1	true	DILUPBiCGStab	2.05770720e-03	2.27809280e-12	1	true	DILUPBiCGStab	4.89293000e-07	4.89293000e-07	0	true	GAMG	2.30246690e-04	3.21022150e-14	1	true
5.78863e-06     	smoothSolver	2.19776640e-04	9.60951580e-14	1	1.62314360e-02	4.60897660e-14	1	false	smoothSolver	2.31365350e-04	4.00766510e-13	1	true	DILUPBiCGStab	2.02029280e-03	2.19980880e-12	1	true	DILUPBiCGStab	4.83751440e-07	4.83751440e-07	0	true	GAMG	2.26217030e-04	3.63697170e-14	1	true
5.8889e-06      	smoothSolver	2.15580260e-04	9.07461610e-14	1	1.59374380e-02	4.30691190e-14	1	false	smoothSolver	2.27436100e-04	3.98989060e-13	1	true	DILUPBiCGStab	1.98416990e-03	2.12604850e-12	1	true	DILUPBiCGStab	4.78188150e-07	4.78188150e-07	0	true	GAMG	2.22360410e-04	3.71140380e-14	1	true
5.98917e-06     	smoothSolver	2.11523050e-04	8.68664560e-14	1	1.56528730e-02	4.03153610e-14	1	false	smoothSolver	2.23672390e-04	3.93860730e-13	1	true	DILUPBiCGStab	1.94927370e-03	2.05264540e-12	1	true	DILUPBiCGStab	4.72600990e-07	4.72600990e-07	0	true	GAMG	2.18651540e-04	3.72267110e-14	1	true
6.08944e-06     	smoothSolver	2.07598300e-04	8.22531580e-14	1	1.53772870e-02	3.78558690e-14	1	false	smoothSolver	2.20045060e-04	3.84094030e-13	1	true	DILUPBiCGStab	1.91553810e-03	1.97981420e-12	1	true	DILUPBiCGStab	4.66989600e-07	4.66989600e-07	0	true	GAMG	2.15066550e-04	2.74632300e-14	1	true
6.18971e-06     	smoothSolver	2.03801160e-04	8.16911730e-14	1	1.51104180e-02	3.56118000e-14	1	false	smoothSolver	2.16535530e-04	3.79193310e-13	1	true	DILUPBiCGStab	1.88290360e-03	1.91070110e-12	1	true	DILUPBiCGStab	4.61353000e-07	4.61353000e-07	0	true	GAMG	2.11602510e-04	3.07712310e-14	1	true
6.28998e-06     	smoothSolver	2.00131960e-04	8.07797840e-14	1	1.48522720e-02	3.36045790e-14	1	false	smoothSolver	2.13141180e-04	3.77403540e-13	1	true	DILUPBiCGStab	1.85131520e-03	1.84248400e-12	1	true	DILUPBiCGStab	4.55690620e-07	4.55690620e-07	0	true	GAMG	2.08249680e-04	3.69634610e-14	1	true
6.39025e-06     	smoothSolver	1.96582380e-04	7.86373200e-14	1	1.46022290e-02	3.17368550e-14	1	false	smoothSolver	2.09852590e-04	3.66336640e-13	1	true	DILUPBiCGStab	1.82072410e-03	1.77492280e-12	1	true	DILUPBiCGStab	4.50001600e-07	4.50001600e-07	0	true	GAMG	2.05002010e-04	2.75903410e-14	1	true
6.49052e-06     	smoothSolver	1.93146590e-04	7.59537300e-14	1	1.43598800e-02	3.00412710e-14	1	false	smoothSolver	2.06664190e-04	3.59154800e-13	1	true	DILUPBiCGStab	1.79107900e-03	1.70869870e-12	1	true	DILUPBiCGStab	4.44284990e-07	4.44284990e-07	0	true	GAMG	2.01854430e-04	3.58756010e-14	1	true
